Brand,id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,coordinates
0,1.31E+18,Mon Sep 14 22:32:39 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I hope @Apple add back Touch ID in the newer #iPhone, like maybe in the power button to retain Face ID. 😕",I hope add back Touch ID newer like maybe power button retain Face ID,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,en,1,0,mrblunt305,,iPhone,Apple,"Los Angeles, CA",
0,1.31E+18,Mon Sep 14 22:31:56 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",I think the apple event tomorrow no iPhone just watch and iPad #AppleEvent #apple,I think apple event tomorrow iPhone watch iPad,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,en,0,0,djjevil,,"AppleEvent, apple",,Qatar ,
0,1.31E+18,Mon Sep 14 22:31:44 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",THATS MY VIEW! 😁#NASA #SPACEX #𝔐𝔄𝔛𝔚𝔈𝔏𝔏 #APPLE #MICROSOFT https://t.co/YxuL7gLn21,THATS MY VIEW,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,en,0,0,MichaelmPrince,FALSE,"NASA, SPACEX, 𝔐𝔄𝔛𝔚𝔈𝔏𝔏, APPLE, MICROSOFT",,"ATLANTIS(AMERICAS, U.A.)",
0,1.31E+18,Mon Sep 14 22:31:39 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","🔥MONDAY MOTIVATION🔥 

LETS.  GO.
 
#winnerwinnerchickendinner #battleroyale  #djrolemodel  #iphone  #gaming… https://t.co/go1lPfhyF0",MONDAY MOTIVATION LETS GO,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,en,0,2,PWinnerwinner,FALSE,"winnerwinnerchickendinner, battleroyale, djrolemodel, iphone, gaming",,,
0,1.31E+18,Mon Sep 14 22:31:34 +0000 2020,"<a href=""https://homeinc.com"" rel=""nofollow"">forRetweeting</a>","RT @NcsVentures: | Donna’s apple, sweet potato, pork stew | #iphone | #ios | #mobilesecurity https://t.co/WW4VSO0LZq",Donnas apple sweet potato pork stew,"Sentiment(polarity=0.35, subjectivity=0.65)",0.35,0.65,en,0,2,CyberSecurityN8,FALSE,"iphone, ios, mobilesecurity",NcsVentures,,
0,1.31E+18,Mon Sep 14 22:31:33 +0000 2020,"<a href=""https://ho.com"" rel=""nofollow"">auto is the only way it can be </a>","RT @NcsVentures: | Donna’s apple, sweet potato, pork stew | #iphone | #ios | #mobilesecurity https://t.co/WW4VSO0LZq",Donnas apple sweet potato pork stew,"Sentiment(polarity=0.35, subjectivity=0.65)",0.35,0.65,en,0,2,sectest9,FALSE,"iphone, ios, mobilesecurity",NcsVentures,"Hyderabad, India",
0,1.31E+18,Mon Sep 14 22:31:25 +0000 2020,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","#Rt for #iPhone, #fav for #android, #followme for #desktop",,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,en,0,0,UgotRT,,"Rt, iPhone, fav, android, followme, desktop",,,
0,1.31E+18,Mon Sep 14 22:31:24 +0000 2020,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","#Rt for #iPhone, #fav for #android, #followme for #desktop",,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,en,0,0,Ur_RTed,,"Rt, iPhone, fav, android, followme, desktop",,,
0,1.31E+18,Mon Sep 14 22:31:22 +0000 2020,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","#Rt for #iPhone, #fav for #android, #followme for #desktop",,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,en,0,0,UrMentioned,,"Rt, iPhone, fav, android, followme, desktop",,,
0,1.31E+18,Mon Sep 14 22:31:19 +0000 2020,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","#Rt for #iPhone, #fav for #android, #followme for #desktop",,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,en,0,0,RTp2p,,"Rt, iPhone, fav, android, followme, desktop",,,
0,1.31E+18,Mon Sep 14 22:31:11 +0000 2020,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","#Rt for #iPhone, #fav for #android, #followme for #desktop",,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,en,0,0,ididrt,,"Rt, iPhone, fav, android, followme, desktop",,,
0,1.31E+18,Mon Sep 14 22:31:09 +0000 2020,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","#Rt for #iPhone, #fav for #android, #followme for #desktop",,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,en,0,0,ihavert,,"Rt, iPhone, fav, android, followme, desktop",,,
0,1.31E+18,Mon Sep 14 22:31:08 +0000 2020,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","#Rt for #iPhone, #fav for #android, #followme for #desktop",,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,en,0,0,rtminded,,"Rt, iPhone, fav, android, followme, desktop",,,
0,1.31E+18,Mon Sep 14 22:31:07 +0000 2020,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","#Rt for #iPhone, #fav for #android, #followme for #desktop",,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,en,0,0,TeamYellowBack,,"Rt, iPhone, fav, android, followme, desktop",,,
0,1.31E+18,Mon Sep 14 22:31:00 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Oh Brother ep. 18 “Mulan (2020)”. Here or wherever you get pods 😊❤️🎬 https://t.co/MDOCJLRFEc #movie #film #Mulan… https://t.co/bcdICjwSVh,Oh Brother ep Mulan 2020 Here wherever get pods,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,en,3,0,ohbpodcast,FALSE,"movie, film, Mulan",,,
0,1.31E+18,Mon Sep 14 22:30:32 +0000 2020,"<a href=""http://www.indievideogames.com"" rel=""nofollow"">IVG PHP Machine</a>","Download JOBIN THE PENGUIN! Awesome, retro-inspired platformer fun! https://t.co/zh8AHauxPS #indiegame #gamedev… https://t.co/UjfBV6rRCL",Download JOBIN THE PENGUIN Awesome retro-inspired platformer fun,"Sentiment(polarity=0.65, subjectivity=0.6)",0.65,0.6,en,2,3,IndieVideoGames,FALSE,"indiegame, gamedev",,"San Diego, CA",
